Membership No  Date Joined  Active  
    89118      2017-2-19    no    
    23620      2019-12-9    no    
    17145      2016-6-8     no    
    58513      2018-11-8    no    
    61445      2015-8-4     no    
    90274      2015-8-7     no    
    28597      2018-7-14    no    
    85774      2018-12-12   no    
    48569      2018-11-8    no    
    70281      2018-6-25    no    
    96128      2018-6-20    no    
    34053      2017-9-21    no    
    73945      2019-12-22   no    
    48433      2016-6-18    no    
    52104      2016-12-2    no    
