Membership No  Date Joined  Active  
    12526      2016-11-8    no    
    75356      2016-12-15   no    
    71255      2019-3-15    no    
    86049      2016-4-3     no    
    93587      2015-9-14    no    
    22887      2015-7-14    no    
    85126      2016-1-19    no    
    47582      2020-12-5    no    
    35779      2017-5-25    no    
    85939      2017-5-1     no    
    32109      2019-8-5     no    
    11851      2015-11-5    no    
    82286      2019-11-21   no    
    69901      2019-8-15    no    
    72841      2017-5-1     no    
    51461      2015-9-17    no    
    68423      2020-12-23   no    
